speaker,L1,word,wav_path,start,end
AB,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp60.wav,1.13,2.03
AB,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp75.wav,0.87,1.8
AB,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp2.wav,1.45661,2.20007
AB,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp23.wav,1.2042,1.86001
AB,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp31.wav,1.15,1.82
AB,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp38.wav,0.84638,1.48938
AB,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp51.wav,0.8661,1.46
AB,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp69.wav,0.74,1.35441
AB,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp13.wav,1.13137,1.73
AB,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp15.wav,1.0841,1.66684
AB,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp32.wav,1.01439,1.61
AB,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp50.wav,0.85641,1.44
AB,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp57.wav,0.91,1.54444
AB,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp78.wav,0.73511,1.32
AB,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp16.wav,1.23149,1.58068
AB,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp34.wav,1.12,1.49
AB,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp44.wav,0.85,1.23721
AB,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp53.wav,0.96,1.33
AB,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp77.wav,0.77,1.13995
AB,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB\ab_rus_list1_FRcorp9.wav,1.44101,1.81
AB2,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp14.wav,1.37725,2.10923
AB2,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp26.wav,1.50424,2.2815
AB2,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp3.wav,1.11,1.89095
AB2,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp41.wav,1.23385,1.93313
AB2,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp58.wav,1.21,1.88485
AB2,ru,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp67.wav,1.48462,2.22093
AB2,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp20.wav,1.44,1.97386
AB2,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp29.wav,1.43,2.01899
AB2,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp45.wav,1.56357,2.15973
AB2,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp5.wav,1.19,1.77211
AB2,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp52.wav,1.54,2.10766
AB2,ru,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp68.wav,1.3958,1.90872
AB2,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp12.wav,1.26,1.97529
AB2,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp35.wav,1.48385,2.07439
AB2,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp47.wav,1.37994,1.99045
AB2,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp55.wav,1.42,1.95
AB2,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp66.wav,1.24,1.79955
AB2,ru,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp71.wav,1.34,1.87499
AB2,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp21.wav,1.37874,1.76464
AB2,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp30.wav,1.3,1.84
AB2,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp4.wav,1.65943,2.18
AB2,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp43.wav,1.7,2.27
AB2,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp63.wav,1.51,2.03
AB2,ru,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp76.wav,1.16588,1.62604
AB2,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp1.wav,1.58629,2.52021
AB2,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp18.wav,2.04,2.98864
AB2,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp28.wav,1.52,2.32799
AB2,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp49.wav,1.71041,2.45772
AB2,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp54.wav,1.42,2.08
AB2,ru,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp72.wav,1.13329,1.82108
AB2,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp10.wav,1.68,2.65316
AB2,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp36.wav,1.39,2.3191
AB2,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp46.wav,1.41,2.39033
AB2,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp61.wav,1.21,1.99682
AB2,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp70.wav,1.46,2.34294
AB2,ru,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp73.wav,1.64756,2.4922
AB2,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp17.wav,1.47,1.91
AB2,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp27.wav,1.30299,1.75
AB2,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp40.wav,1.31,1.78585
AB2,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp62.wav,1.24,1.6618
AB2,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp65.wav,1.2756,1.64335
AB2,ru,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp7.wav,1.21074,1.66
AB2,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp11.wav,1.63633,2.1857
AB2,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp19.wav,1.55,2.19386
AB2,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp25.wav,1.36,1.91634
AB2,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp39.wav,1.66,2.22319
AB2,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp56.wav,1.54394,2.4143
AB2,ru,pas ceux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp74.wav,1.39,1.96584
AB2,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp22.wav,1.76,2.67722
AB2,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp33.wav,1.74,2.61
AB2,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp48.wav,1.21444,2.10114
AB2,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp6.wav,1.1748,2.24
AB2,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp60.wav,1.26,2.27
AB2,ru,pour gabriel,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp75.wav,1.32877,2.22
AB2,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp2.wav,1.03,1.63606
AB2,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp23.wav,1.76,2.36453
AB2,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp31.wav,1.55,2.17574
AB2,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp38.wav,1.71,2.34171
AB2,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp51.wav,1.71707,2.30858
AB2,ru,sérieux,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp69.wav,1.50539,2.11159
AB2,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp13.wav,1.55483,2.22
AB2,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp15.wav,1.29672,1.92
AB2,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp32.wav,1.38491,2.04595
AB2,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp50.wav,1.4,2.00841
AB2,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp57.wav,1.45,2.02
AB2,ru,tsarine,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp78.wav,1.53348,2.14
AB2,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp16.wav,1.39,1.77794
AB2,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp34.wav,1.39611,1.7459
AB2,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp44.wav,1.72,2.17311
AB2,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp53.wav,1.71,1.99528
AB2,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp77.wav,1.54,1.84231
AB2,ru,tulle,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AB2\ab2_rus_list1_FRcorp9.wav,1.53565,1.93636
AG,fr,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp14.wav,1.56,2.08079
AG,fr,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp26.wav,1.63211,2.14
AG,fr,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp3.wav,1.81478,2.35457
AG,fr,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp41.wav,1.35,1.88634
AG,fr,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp58.wav,1.67,2.25
AG,fr,cache cache,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp67.wav,1.35,1.93
AG,fr,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp20.wav,1.05,1.44
AG,fr,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp29.wav,1.33,1.67
AG,fr,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp45.wav,1.61,2.03
AG,fr,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp5.wav,1.58,1.96
AG,fr,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp52.wav,2.07,2.45715
AG,fr,divan,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp68.wav,1.67,2.08
AG,fr,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp12.wav,1.39,1.89555
AG,fr,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp35.wav,1.65,2.1
AG,fr,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp47.wav,1.31,1.77
AG,fr,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp55.wav,1.97,2.45
AG,fr,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp66.wav,1.11,1.53
AG,fr,garage,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp71.wav,1.38,1.83
AG,fr,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp21.wav,1.45501,1.75
AG,fr,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp30.wav,1.73593,2.03
AG,fr,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp4.wav,2.12806,2.4
AG,fr,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp43.wav,1.11892,1.4
AG,fr,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp63.wav,1.85453,2.13
AG,fr,hier,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp76.wav,1.58332,1.86
AG,fr,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp1.wav,3.37286,3.79
AG,fr,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp18.wav,1.54116,1.95518
AG,fr,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp28.wav,1.61128,2.02
AG,fr,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp49.wav,1.6,1.99
AG,fr,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp54.wav,1.964,2.36
AG,fr,j'en chie,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp72.wav,1.32,1.71085
AG,fr,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp10.wav,1.33827,2.1
AG,fr,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp36.wav,1.23,1.95
AG,fr,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp46.wav,1.53,2.22
AG,fr,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp61.wav,1.58228,2.28
AG,fr,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp70.wav,1.48,2.18
AG,fr,juxtaposer,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp73.wav,1.12915,1.81
AG,fr,louche,ru-fr_interference\2\wav_et_textgrids\FRcorp_textgrids_only\AG\ag_fra_list1_FRcorp17.wav,1.47798,1.77
